class_name,class_id,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25
parking_space,0,22,91,291,1172,3722,10744,19259,12118,3596,2816,2708,2006,2098,1634,1290,1182,596,156,26,0,0,0,4,4,1
parking_space,0,18,72,240,868,3038,9057,17915,14035,5062,3620,3028,2548,2142,1708,964,656,310,166,48,22,10,0,4,4,1
parking_space,0,10,54,118,412,1427,4666,12024,19380,9620,3334,2744,2468,2066,1974,1888,1588,1032,476,188,58,0,0,4,4,1
parking_space,0,10,88,252,872,2772,8152,17264,15130,4843,3266,2886,2660,2690,2320,1448,554,210,94,10,6,0,0,4,4,1
parking_space,0,18,88,352,1126,3546,9647,17677,12792,4489,3420,3120,2810,2456,1700,1188,676,262,112,40,8,0,0,4,4,1
parking_space,0,12,32,142,566,2032,6491,15319,17207,6614,4178,3492,3162,2738,1770,1014,350,176,158,58,12,4,0,4,4,1
parking_space,0,20,92,322,916,3214,8960,16706,13719,4956,3436,3034,2818,2674,2418,1246,476,262,168,48,28,14,0,4,4,1
parking_space,0,28,92,284,1045,3304,9524,18265,14631,4308,2690,2080,1864,1764,2012,1782,1074,592,148,32,6,2,0,4,4,1
parking_space,0,14,42,174,592,2047,6162,14454,16734,6978,4166,3558,2952,2480,2046,1650,856,292,166,120,36,8,0,4,4,1
parking_space,0,22,50,226,738,2740,7919,17218,16880,5136,3132,2876,2570,2226,1840,1144,510,216,66,18,0,0,0,4,4,1
parking_space,0,8,62,188,720,2393,7580,16709,15555,5286,3652,3264,2828,2448,2036,1482,812,376,98,30,0,0,0,4,4,1
parking_space,0,12,76,215,704,2326,6824,15659,16722,6291,3328,2878,2598,2384,1774,1446,1136,630,276,170,76,2,0,4,4,1
parking_space,0,18,36,152,582,1750,5200,12641,18472,8930,3380,2882,2524,2476,2262,1868,1256,704,284,78,30,2,0,4,4,1
parking_space,0,8,32,108,412,1334,4524,12035,20636,11710,3426,2928,2468,2228,1734,1062,562,210,72,32,6,0,0,4,4,1
parking_space,0,6,14,114,286,1224,3796,10588,17591,10668,4232,3304,3128,2882,2682,2268,1356,674,468,194,36,16,0,4,4,1
parking_space,0,22,46,170,633,2032,5966,14459,18811,8002,3516,2900,2780,2356,1640,1024,592,294,238,44,2,0,0,4,4,1
parking_space,0,8,30,154,471,1586,4922,12359,18275,9170,3800,3286,2876,2352,1778,1588,1324,826,412,220,76,14,0,4,4,1
parking_space,0,22,94,364,1452,4512,12884,21062,9739,3520,3084,2804,2512,1916,1084,264,136,64,12,2,0,0,0,4,4,1
parking_space,0,12,72,230,688,2469,7326,15900,14480,5456,4098,3516,3022,2742,2246,1760,910,322,162,88,22,6,0,2,6,1
parking_space,0,30,92,350,1102,3440,9644,17611,12986,4274,3064,2794,2504,2296,2108,1948,892,286,84,22,0,0,0,4,4,1
parking_space,0,6,40,160,529,1658,5048,12231,16798,8069,4170,3204,2836,2676,2492,2370,1880,894,350,78,34,4,0,4,4,1
parking_space,0,10,40,198,710,2413,7987,17280,16015,5558,4000,3516,2810,2210,1490,698,322,180,48,38,4,0,0,4,4,1
parking_space,0,16,64,214,926,2587,7756,16694,16414,5560,3310,2836,2538,2062,1764,1364,758,264,194,120,68,18,0,4,4,1
parking_space,0,15,122,314,1087,3636,10020,17892,11541,4350,3704,2992,2592,2304,2170,1628,704,340,90,22,4,0,0,4,4,1
parking_space,0,6,16,114,424,1620,5136,13450,18851,9120,3878,3254,2830,2354,1858,1246,654,288,168,154,90,16,0,4,4,1
