class_name,class_id,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25
parking_space,0,14,40,150,538,2072,6774,16931,22506,6444,1506,1230,1324,1386,1366,1132,948,656,432,58,20,0,0,2,6,1
parking_space,0,10,46,222,732,2454,8071,19688,21176,4698,1584,1450,1396,1324,1130,792,508,178,58,10,0,0,0,4,4,1
parking_space,0,14,68,296,966,3086,9729,20952,17406,3148,1482,1448,1490,1488,1412,1230,780,328,140,30,26,8,0,4,4,1
parking_space,0,20,83,288,854,2887,8603,19420,20170,4620,1856,1548,1444,1384,964,636,298,168,112,116,48,8,0,4,4,1
parking_space,0,20,82,294,1142,3780,11405,22806,15888,2546,1734,1620,1442,1252,876,398,178,60,4,0,0,0,0,4,4,1
parking_space,0,14,56,172,616,1898,6201,15486,22296,8676,1500,1492,1440,1500,1458,1210,908,416,160,26,2,0,0,4,4,1
parking_space,0,40,152,490,1890,5921,15714,23067,8631,1862,1496,1356,1402,1218,924,746,374,222,22,0,0,0,0,4,4,1
parking_space,0,18,53,177,664,2330,7297,18504,21724,5310,1934,1806,1658,1470,1128,812,346,134,112,32,14,4,0,4,4,1
parking_space,0,14,50,248,876,3324,10192,21846,16875,2606,1584,1632,1408,1288,1338,1114,802,250,58,22,0,0,0,4,4,1
parking_space,0,8,44,146,547,1856,6123,16026,22717,8042,1904,1640,1586,1316,1406,1106,582,236,134,78,26,4,0,4,4,1
parking_space,0,16,103,318,1030,3384,9523,20503,19404,3686,1694,1576,1570,1316,730,394,172,62,36,10,0,0,0,4,4,1
parking_space,0,16,50,238,780,2542,7887,18241,21213,5544,1706,1378,1264,1384,1200,1124,464,210,128,90,52,16,0,4,4,1
parking_space,0,36,124,428,1574,5197,14157,23317,11158,2084,1762,1614,1380,1216,796,364,180,92,32,16,0,0,0,4,4,1
parking_space,0,12,48,211,896,3032,9225,20521,18066,3380,1698,1714,1648,1482,1450,988,522,328,192,76,24,14,0,2,6,1
parking_space,0,16,52,218,782,2791,9022,20374,19152,3752,1926,1796,1638,1472,1216,644,338,150,98,72,10,6,2,4,2,3
parking_space,0,22,76,385,1178,3824,10976,21633,15923,2492,1660,1494,1390,1472,1320,908,478,240,38,18,0,0,0,4,4,1
parking_space,0,22,78,324,1175,3574,10590,21105,17913,3328,1654,1414,1348,1160,842,582,274,84,52,8,0,0,0,4,4,1
parking_space,0,20,71,214,778,2670,8204,19253,20299,4682,1604,1536,1530,1414,1296,950,520,278,134,64,8,2,0,4,4,1
parking_space,0,10,68,198,742,2558,7548,18503,20497,5387,1830,1406,1192,1058,1114,1016,1020,750,350,196,74,10,0,4,4,1
parking_space,0,2,12,138,424,1764,5876,16133,23434,7296,1850,1814,1492,1370,1662,1124,650,330,132,24,0,0,0,4,4,1
parking_space,0,6,54,140,534,1947,5966,15208,22771,8457,1784,1386,1452,1556,1380,1098,856,454,310,150,18,0,0,4,4,1
parking_space,0,12,16,94,380,1396,4908,12995,22808,12091,1951,1590,1464,1358,1296,1010,942,660,332,154,62,8,0,4,4,1
parking_space,0,18,78,250,878,3174,9546,21160,19034,3257,1614,1578,1440,1334,1076,638,282,108,44,18,0,0,0,2,6,1
parking_space,0,4,42,190,714,2458,7752,19131,21141,4697,1712,1682,1704,1464,1168,830,474,204,122,22,12,4,0,4,4,1
