class_name,class_id,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25
parking_space,0,8,20,105,298,852,2398,5836,10824,12272,11249,7930,4285,2834,2352,2032,1216,618,346,52,0,0,0,4,4,1
parking_space,0,2,6,20,48,222,728,2167,6288,13506,16676,11512,6225,3431,2292,1416,676,246,60,6,0,0,0,4,4,1
parking_space,0,30,76,216,600,1734,4100,9076,13591,12355,8529,5232,3374,2700,2234,1074,372,158,46,22,8,0,0,4,4,1
parking_space,0,10,4,10,42,156,412,1504,4014,10246,16602,13849,8302,5016,2728,1384,558,262,172,154,90,12,0,4,4,1
parking_space,0,2,8,84,202,708,2197,6452,12181,14206,11743,6986,4654,3350,1572,684,372,118,8,0,0,0,0,4,4,1
parking_space,0,18,40,144,438,1138,3054,6992,11241,11812,9498,6660,4214,3370,3020,2360,1054,346,112,16,0,0,0,4,4,1
parking_space,0,6,32,122,376,1191,3353,8326,12864,12511,10006,5834,4018,2902,2030,1208,540,192,16,0,0,0,0,4,4,1
parking_space,0,2,0,2,14,64,230,830,2517,6875,14352,15930,11702,6970,3455,1434,592,270,182,92,12,2,0,4,4,1
parking_space,0,2,16,38,168,508,1398,4058,8751,12921,12564,9457,5784,3906,2662,2006,928,252,96,12,0,0,0,4,4,1
parking_space,0,4,6,48,159,416,1154,2976,7426,12753,14390,10983,7242,3752,2182,1106,452,210,136,88,36,8,0,4,4,1
parking_space,0,6,10,49,152,408,1284,4116,9052,13599,12411,9530,6840,4474,2246,724,340,196,48,32,10,0,0,4,4,1
parking_space,0,14,38,104,281,776,2040,5452,11754,15642,11549,6724,4435,2808,2026,1080,334,198,124,106,40,2,0,4,4,1
parking_space,0,4,28,88,258,852,2272,6171,12652,15301,12209,7702,4272,2048,790,458,236,114,40,30,2,0,0,4,4,1
parking_space,0,8,22,32,108,386,1116,3010,7542,13490,13537,9382,6500,4888,2986,1420,516,304,222,42,16,0,0,4,4,1
parking_space,0,2,2,18,38,160,556,1688,5006,11399,16062,12039,8020,5425,2986,1182,388,246,192,106,8,2,2,4,4,1
parking_space,0,10,22,68,148,492,1606,4129,9092,12571,11486,9701,6202,3986,3082,1642,638,502,100,40,10,0,0,4,4,1
parking_space,0,6,2,12,128,360,1031,3278,8312,14008,13756,9415,6027,4174,2632,1324,644,296,78,32,12,0,0,4,4,1
parking_space,0,4,36,66,190,762,2094,5617,10940,11949,10744,7914,5525,3924,2950,1574,738,334,128,32,6,0,0,4,4,1
parking_space,0,2,8,24,108,326,990,2518,6588,12857,14752,9688,6341,4084,2518,1954,1419,786,324,180,58,2,0,4,4,1
parking_space,0,4,6,12,54,144,384,1230,3722,8995,14601,14301,9348,5480,3478,2458,838,346,88,34,4,0,0,4,4,1
parking_space,0,6,8,40,74,298,1018,2763,6704,11241,11729,9808,7678,5044,3624,2598,1576,704,410,162,42,0,0,4,4,1
parking_space,0,12,26,109,254,766,1978,5303,10866,14922,11032,7030,4694,3184,2209,1458,920,416,200,116,32,0,0,4,4,1
parking_space,0,8,26,100,240,802,2526,6684,14281,16549,10643,5390,3452,2602,1358,500,236,88,34,8,0,0,0,4,4,1
parking_space,0,6,8,26,74,272,870,2505,6428,12838,15614,12065,7080,3833,2106,994,376,280,128,12,12,0,0,4,4,1
parking_space,0,2,0,6,28,110,310,976,2964,7748,14422,15182,11075,6778,3624,1458,418,222,142,56,6,0,0,4,4,1
parking_space,0,18,38,78,308,1040,3264,8335,13888,13445,9765,6002,4112,2836,1478,572,222,90,32,4,0,0,0,4,4,1
parking_space,0,12,16,60,150,468,1326,3309,7876,13238,14079,10901,6802,3878,1750,716,448,300,134,50,14,0,2,2,4,1
parking_space,0,2,2,26,64,174,529,1764,4816,10836,15537,12649,8012,5058,3064,1650,730,350,194,50,20,0,0,4,4,1
parking_space,0,4,2,14,44,158,622,1805,5654,13080,16841,11008,6060,4105,2884,1896,926,244,136,44,0,0,0,4,4,1
parking_space,0,14,44,116,345,1108,2930,7044,13030,14368,9791,6950,4841,2750,1176,416,194,190,176,36,6,2,0,4,4,1
parking_space,0,2,4,18,52,201,694,1952,5274,10542,12506,11498,8552,5670,4228,2568,1128,382,156,68,32,0,0,4,4,1
parking_space,0,10,4,54,130,398,1223,3445,7772,12238,12237,9662,6132,4488,3528,2414,1160,326,164,104,38,0,0,4,4,1
parking_space,0,18,46,144,332,1000,2684,6568,11235,12075,10823,8106,5608,3528,1786,720,362,224,150,66,34,18,0,4,4,1
parking_space,0,8,8,26,160,444,1240,3684,8728,13128,12204,9734,6159,3930,2790,1780,894,328,196,70,16,0,0,4,4,1
parking_space,0,6,20,58,184,515,1452,4178,9603,15060,13048,9142,6026,3273,1654,696,300,194,98,14,6,0,0,4,4,1
parking_space,0,2,4,14,58,260,618,1926,5024,10627,14762,13650,8432,4716,2746,1366,664,358,186,104,10,0,0,4,4,1
